Doctor,Specialty,Contact
Dr. Ismail Abbara,Consultant Urologist,800 444 444
Dr. Israa Mouhsen Khalil Al Mulai,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Issam Mardini,Specialist Orthopaedic Surgeon,800 444 444
Dr. Iyad Abuward,Consultant Nephrologist,800 444 444
Dr. Jalal Nafach,Consultant Endocrinologist,800 444 444
Dr. Jennifer Philips,General Dentist,800 444 444
Dr. Jorg Meyer,Consultant Urologist,800 444 444
Dr. Joseph Banoub,Specialist Internal Medicine,800 444 444
Dr. Jwan Mansoor Putris,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Jyothi Sara Charlie,General Dentist,800 444 444
Dr. Kanika Gupta,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Kartik Dave,Specialist Clinical Pathologist,800 444 444
Dr. Keyur Zatakiya,Specialist Anaesthetist,800 444 444
Dr. Khairullah Alabdali,Consultant ENT,800 444 444
Dr. Khaled Ahmed Bamakhrama,Consultant Gastroenterologist,800 444 444
Dr. Khaled Sabeh,Consultant Cardiac Electrophysiology,800 444 444
Dr. Kinda Maidaa,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Krishna Prasad Pinnamaneni,Specialist Orthodontist,800 444 444
Dr. Labib Sallam Darwish Al Ozaibi,Consultant General Surgeon and Coloproctology,800 444 444
Dr. Lara Alatassi,Specialist Ophthalmology,800 444 444
Dr. Layal Abdallah,Consultant Interventional Cardiologist,800 444 444
Dr. Layla Mobasher,Specialist Paediatrics,800 444 444
Dr. Layth Salim Hadi Al Majmaie,Consultant Emergency Medicine,800 444 444
Dr. Leen Bonni,General Dentist,800 444 444
Dr. M-Basel Alassi,Specialist ENT,800 444 444
Dr. Madhu Awatramani,Specialist Radiologist,800 444 444
Dr. Maen Al Issa,Specialist General Surgeon,800 444 444
Dr. Mahir Majid,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Mahira Yunus,Consultant Radiologist,800 444 444
Dr. Majd Belal,Physical Medicine & Rehabilitation Specialist,800 444 444
Dr. Manal Abdelghany,Specialist Dermatologist,800 444 444
Dr. Manal El Refaei,Specialist Radiologist,800 444 444
Dr. Manal Riad Akbik,Specialist Anaesthetist,800 444 444
Dr. Manish Nagariya,Specialist Anaesthetist,800 444 444
Dr. Marc Takla,Consultant Cardiologist,800 444 444
Dr. Maria Awais,Specialist Internal Medicine,800 444 444
Dr. Mariam Kharroubi,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Marwa Kamal,General Practitioner Paediatrics,800 444 444
Dr. Marwan El-Khazen,Specialist Orthopaedic Surgeon,800 444 444
Dr. Maya El Khoury,Specialist Dermatologist,800 444 444
Dr. Mayada Samir,Specialist Paediatrics,800 444 444
Dr. Mayyar Alkawadri,Specialist Paediatrics,800 444 444
Dr. Meerna Elias Ghannoum,Specialist Radiologist,800 444 444
Dr. Meltem Tank,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Michel Jabbour,Consultant Urologist,800 444 444
Dr. Mira Awad,General Practitioner,800 444 444
Dr. Mohamad Kaskas,Consultant Urologist,800 444 444
Dr. Mohamed Afif Valiyakath Akber Ali,General Practitioner,800 444 444
Dr. Mohamed Basha,General Dentist,800 444 444
Dr. Mohamed Elbassyouny Alawy,Specialist Medical Oncology,800 444 444
Dr. Mohamed Elsaid,Specialist Critical Care,800 444 444
Dr. Mohamed Gamal Abousaleh,Specialist Critical Care,800 444 444
Dr. Mohamed Salamony,Specialist Radiologist,800 444 444
Dr. Mohamed Siam,Specialist Anaesthetist,800 444 444
Dr. Mohammad Amir Tuleimat,Specialist Paediatrics,800 444 444
Dr. Mohammed Abuazab,Consultant Vascular Surgeon,800 444 444
Dr. Mohammed Al Ali,Specialist Ophthalmology,800 444 444
Dr. Mohammed Moulhem,General Practitioner,800 444 444
Dr. Mohammed Yu Latif,General Practitioner,800 444 444
Dr. Monica Pratap,Specialist Anaesthetist,800 444 444
Dr. Monika Kaushal,Consultant Pediatrician & Neonatologist,800 444 444
Dr. Mostapha El Edelbi,Specialist General Surgeon,800 444 444
Dr. Mudar Rihawi,Specialist Radiologist,800 444 444
Dr. Muhammad Younis,Consultant Ophthalmic Surgeon,800 444 444
Dr. Nabil Abutartour,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Nabil Al Khatib,Specialist Anaesthetist,800 444 444
Dr. Naglaa Hosny Abdelkawy,Specialist Internal Medicine,800 444 444
Dr. Namita Padvi,Specialist Anaesthetist,800 444 444
Dr. Narges Pourheidari,Specialist Dermatologist,800 444 444
Dr. Nermeen Soliman,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Niam Adam Abubakr Mahdi,General Practitioner,800 444 444
Dr. Nidhi Joshi,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Nigel Beejay,Consultant Gastroenterologist,800 444 444
Dr. Nima Mesbah,Specialist Internal Medicine,800 444 444
Dr. Nishad Chemmangath,Specialist ENT,800 444 444
Dr. Noha Abdelwahed,Specialist Neurologist,800 444 444
Dr. Nusrat Hassan Naqash,Specialist Family Medicine,800 444 444
Dr. Omaima Saeed,Specialist Endocrinologist,800 444 444
Dr. Ossama Abdallah,Consultant Orthopaedic Surgeon,800 444 444
Dr. Ozgur Onen,Specialist Emergency Medicine,800 444 444
Dr. Prem Nanda,Specialist Orthodontist & Implantologist,800 444 444
Dr. Priyanka Srikanth,Specialist Ophthalmology,800 444 444
Dr. Punam Bijlani,Consultant Plastic Surgeon,800 444 444
Dr. Puzant Balmanougian,Specialist Orthodontist,800 444 444
Dr. Rabah Mohamed Mohamed Elbahnasawy,Specialist Internal Medicine,800 444 444
Dr. Rabie Mohamed Mukhtar,Specialist Orthopaedic Surgeon,800 444 444
Dr. Rafah Elhelou,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Rajmeet Kaur,General Dentist and Implantologist,800 444 444
Dr. Randa El-Tawil,General Practitioner,800 444 444
Dr. Riadh Mounayer,Specialist ENT,800 444 444
Dr. Rima El-Hindi,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Rita Daaboul,Consultant General Surgeon,800 444 444
Dr. Ritesh Sharma,Specialist Pulmonology,800 444 444
Dr. Roger Batrouni,Specialist General Surgeon,800 444 444
Dr. Rola Saliby,Specialist Paediatrics,800 444 444
Dr. Sadeq Yaqoub,Consultant Pediatric Surgeon,800 444 444
Dr. Sadhana Undevia,Specialist Paediatrics,800 444 444
Dr. Saeed Gharleghi,Specialist Internal Medicine,800 444 444
Dr. Safa Arnaout,Specialist Anaesthetist,800 444 444
Dr. Sahar Habib Alla,Specialist Paediatrics,800 444 444
Dr. Said Hamdoun,Consultant Rheumatologist,800 444 444
Dr. Said Shahwan,Specialist Restorative Dentistry & Implantologist,800 444 444
Dr. Saira Mughal,General Practitioner,800 444 444
Dr. Sali Aman,Specialist Family Medicine,800 444 444
Dr. Sama Zibdeh,Consultant Breast Surgeon,800 444 444
Dr. Samar Ghera,General Dentist,800 444 444
Dr. Sameer Sajwani,Consultant Pediatric Cardiologist,800 444 444
Dr. Samer Cheaib,Consultant Maternal and Fetal Medicine   Obstetrics & Gynaecology,800 444 444
Dr. Sami Alassi,Specialist ENT,800 444 444
Dr. Sandra Takla,Consultant Dermatologist,800 444 444
Dr. Sanjeeda Akhter,General Practitioner,800 444 444
Dr. Sara Dafaalla,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Saraa Monther,Specialist Endocrinologist,800 444 444
Dr. Seba Alamm,Specialist Radiologist,800 444 444
Dr. Selma Ben Amara,Consultant Paediatrics,800 444 444
Dr. Serkan Dogan,Specialist Gastroenterologist,800 444 444
Dr. Seyed Hamed Reza,Specialist Cardiologist,800 444 444
Dr. Seyed Mohammad Kasaei,Specialist Cardiologist,800 444 444
Dr. Seyedhesam Rahmani,Specialist Emergency Medicine,800 444 444
Dr. Shahla Laghari,Specialist General Surgeon,800 444 444
Dr. Shalini Verma,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Sheena Cherry Barns Joy,Specialist Internal Medicine,800 444 444
Dr. Sherif Mohamed Shaker,Specialist Cardiologist,800 444 444
Dr. Shreya Sekhar,General Practitioner,800 444 444
Dr. Siham Bouazza,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Sima Bijani,Specialist Emergency Medicine,800 444 444
Dr. Sonika Sadik,General Practitioner,800 444 444
Dr. Sripradha Sudarsanam,Specialist Paediatrics,800 444 444
Dr. Sulieman Khattar,Specialist Paediatrics,800 444 444
Dr. Susann Kohler,General Dentist,800 444 444
Dr. Taghrid Ahmed Abdallah,General Dentist,800 444 444
Dr. Tamer Gamal Abdelhamid,Specialist Anaesthetist,800 444 444
Dr. Tatsiana Palkhouskaya,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Tejashree Singh,Specialist Reproductive Endocrinology & Infertility,800 444 444
Dr. Tetiana Narovchenko,Specialist Ophthalmology,800 444 444
Dr. Thomas Abraham,Specialist Internal Medicine,800 444 444
Dr. Vahid Sepehri,Specialist Cardiologist,800 444 444
Dr. Vera Beni,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Vineeta Mohindra,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Wael Sammur,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Wafaa Al Assyl,Specialist Anaesthetist,800 444 444
Dr. Walid Al Hajj Obeid,Specialist Urologist,800 444 444
Dr. Wiam Makdessi,Specialist Radiologist,800 444 444
Dr. Wisam Elayan,Consultant Orthopaedic Surgeon,800 444 444
Dr. Yagmur Gokhan Semerci,Specialist Emergency Medicine,800 444 444
Dr. Yaman Altal,Consultant Urologist,800 444 444
Dr. Yanal Salam,Specialist Internal Medicine,800 444 444
Dr. Youmna Dirani,Consultant Infectious Diseases,800 444 444
Dr. Zahid Khan,Specialist Emergency Medicine,800 444 444
Dr. Zainab Kamil AlJammali,General Practitioner,800 444 444
Dr. Zeinah Abu Omar,Specialist Radiologist,800 444 444
Dr. Ziena Fadhil Nouri,Specialist Anaesthetist,800 444 444
Dr. Zuhair Mahmandar,Consultant Neonatologist   Specialist Paediatrician,800 444 444
Mr. Ahmed Rashad,Physiotherapist,800 444 444
Mr. Arun Francis,Physiotherapist,800 444 444
Mr. Jarrel Jr. Garing Espinili,Physiotherapist,800 444 444
Mr. Khaja Fareeduddin,Physiotherapist,800 444 444
Mr. Khaled Farouki,Physiotherapist,800 444 444
Mr. Natarajan Subramanian,Physiotherapist,800 444 444
Mr. Rohit Sinha,Physiotherapist,800 444 444
Mr. Sai Prashanth,Physiotherapist,800 444 444
Mr. Udhuman Fariz,Physiotherapist,800 444 444
Mr. Vivek Raj Pavan,Physiotherapist,800 444 444
Mr. Yasir Yusaf,Respiratory Therapist,800 444 444
Mr. Zahir Khan Gafoor Khan,Physiotherapist,800 444 444
Ms. Agy Rose,Speech Therapist,800 444 444
Ms. Akhtarunnisa.S.Ansari,Clinical Dietitian,800 444 444
Ms. Amina Nadeem Maruf,Physiotherapist,800 444 444
Ms. Anitha Sebastian Magimai,Occupational Therapist,800 444 444
Ms. Basharath Malkan,Speech Therapist,800 444 444
Ms. Bhavika  Sharma,Occupational Therapist,800 444 444
Ms. Dana Diab Halabi,Physiotherapist,800 444 444
Ms. Darshita Bhangde,Physiotherapist,800 444 444
Ms. Dibina Alen,Audiologist,800 444 444
Ms. Eloisa Sayson Mendoza,Occupational Therapist,800 444 444
Ms. Farhana Rahatwilkar,Physiotherapist,800 444 444
Ms. Juliet Dsouza,Clinical Nutritionist,800 444 444
Ms. Ketaki Sharad Karandikar,Physiotherapist,800 444 444
Ms. Lavanya Molly,Speech Therapist,800 444 444
Ms. Maria Siddiqui,Physiotherapist,800 444 444
Ms. Mariya Majid Mir,Physiotherapist,800 444 444
Ms. Maryam Benazir Rahman,Physiotherapist,800 444 444
Ms. Merna Begemy,Physiotherapist,800 444 444
Ms. Nafisa Faroug Adam Salih,Physiotherapist,800 444 444
Ms. Nilakkanni Marimuthu,Physiotherapist,800 444 444
Ms. Noha Elaraby,Physiotherapist,800 444 444
Ms. Nour Assef Sayegh,Clinical Dietitian,800 444 444
Ms. Pia Angela Parreno,Physiotherapist,800 444 444
Ms. Rawan Muhanna,Clinical Nutritionist,800 444 444
Ms. Rosalba Marigold Bangloy Abero,Physiotherapist,800 444 444
Ms. Serin Isaac,Physiotherapist,800 444 444
Ms. Shaina Marie Marbella,Physiotherapist,800 444 444
Ms. Varalakshmi Dillibabu,Physiotherapist,800 444 444
Ms. Wadeaa Tharwat,Physiotherapist,800 444 444
Ms. Willen Mae Reyes,Physiotherapist,800 444 444
Ms. Yara Razzouk,Physiotherapist,800 444 444
Ms. Zahra Shirazi,Senior Physiotherapist,800 444 444
Ms. Zehra Mehtab,Physiotherapist,800 444 444
Prof. Dr. Jehad Al Sukhun,Specialist Oral Maxillofacial Surgeon,800 444 444
